AL, 50, 2014051212,   , BEST,   0, 192N,  568W,  30, 1009, TD,   0,    ,    0,    0,    0,    0, 
AL, 50, 2014051218,   , BEST,   0, 195N,  580W,  40, 1009, TS,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051300,   , BEST,   0, 197N,  591W,  50, 1009, TS,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051300,   , BEST,   0, 197N,  591W,  50, 1009, TS,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051306,   , BEST,   0, 199N,  602W,  50, 1009, TS,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051306,   , BEST,   0, 199N,  602W,  50, 1009, TS,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051312,   , BEST,   0, 201N,  614W,  50, 1009, TS,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051312,   , BEST,   0, 201N,  614W,  50, 1009, TS,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051318,   , BEST,   0, 204N,  627W,  60, 1009, TS,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051318,   , BEST,   0, 204N,  627W,  60, 1009, TS,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051400,   , BEST,   0, 207N,  639W,  65, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051400,   , BEST,   0, 207N,  639W,  65, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051400,   , BEST,   0, 207N,  639W,  65, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
AL, 50, 2014051412,   , BEST,   0, 210N,  650W,  65, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051412,   , BEST,   0, 210N,  650W,  65, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051412,   , BEST,   0, 210N,  650W,  65, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
AL, 50, 2014051418,   , BEST,   0, 216N,  670W,  65, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051418,   , BEST,   0, 216N,  670W,  65, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051418,   , BEST,   0, 216N,  670W,  65, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
AL, 50, 2014051500,   , BEST,   0, 219N,  681W, 100, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051500,   , BEST,   0, 219N,  681W, 100, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051500,   , BEST,   0, 219N,  681W, 100, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
AL, 50, 2014051506,   , BEST,   0, 221N,  691W, 100, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051506,   , BEST,   0, 221N,  691W, 100, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051506,   , BEST,   0, 221N,  691W, 100, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
AL, 50, 2014051512,   , BEST,   0, 223N,  701W, 110, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051512,   , BEST,   0, 223N,  701W, 110, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051512,   , BEST,   0, 223N,  701W, 110, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
AL, 50, 2014051518,   , BEST,   0, 225N,  710W, 110, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051518,   , BEST,   0, 225N,  710W, 110, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051518,   , BEST,   0, 225N,  710W, 110, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
AL, 50, 2014051600,   , BEST,   0, 227N,  720W, 110, 1009, HU,  34, NEQ,   40,    0,    0,   40, 
AL, 50, 2014051600,   , BEST,   0, 227N,  720W, 110, 1009, HU,  50, NEQ,   20,    0,    0,   20, 
AL, 50, 2014051600,   , BEST,   0, 227N,  720W, 110, 1009, HU,  64, NEQ,   10,    0,    0,   10, 
