WP, 10, 2016081718,   , BEST,   0, 153N, 1413E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1000,  205,  40,   0,   0,   W,   0,   X,  75,   6,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081800,   , BEST,   0, 153N, 1421E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0,  999,  205,  40,   0,   0,   W,   0,   X,  80,   7,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081806,   , BEST,   0, 157N, 1429E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0,  998,  170,  40,   0,   0,   W,   0,   X,  75,   7,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081812,   , BEST,   0, 165N, 1434E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1000,  170,  35,   0,   0,   W,   0,   X,  55,   8,        TEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081818,   , BEST,   0, 171N, 1434E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1000,  170,  35,   0,   0,   W,   0,   X,  35,   7,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081900,   , BEST,   0, 176N, 1425E,  40,  993, XX,  34, NEQ,    0,    0,    0,    0, 1000,  170,  35,   0,   0,   W,   0,   X, 355,   6,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081906,   , BEST,   0, 181N, 1414E,  45,  989, XX,  34, NEQ,   45,   70,   30,   20, 1001,  250,  35,   0,   0,   W,   0,   X, 320,   8,        TEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081912,   , BEST,   0, 189N, 1410E,  45,  989, XX,  34, NEQ,   45,   70,   30,   20, 1001,  250,  35,   0,   0,   W,   0,   X, 315,   8,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016081918,   , BEST,   0, 197N, 1405E,  45,  989, XX,  34, NEQ,   60,   80,   30,   20, 1000,  220,  35,   0,   0,   W,   0,   X, 325,   9,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082000,   , BEST,   0, 204N, 1407E,  55,  982, XX,  34, NEQ,   60,   80,   30,   20,  999,  220,  30,   0,   0,   W,   0,   X, 345,   8,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082006,   , BEST,   0, 223N, 1409E,  55,  982, XX,  34, NEQ,   60,   80,   30,   20,  999,  220,  30,   0,   0,   W,   0,   X,    ,  11,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082012,   , BEST,   0, 239N, 1410E,  55,  982, XX,  34, NEQ,   60,   80,   30,   20,  999,  220,  30,   0,   0,   W,   0,   X,   5,  14,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082018,   , BEST,   0, 265N, 1405E,  55,  982, XX,  34, NEQ,   60,   80,   40,   20, 1000,  180,  30,   0,   0,   W,   0,   X,    ,  20,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082100,   , BEST,   0, 283N, 1406E,  55,  982, XX,  34, NEQ,   60,   80,   40,   20,  998,  160,  30,   0,   0,   W,   0,   X, 355,  20,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082106,   , BEST,   0, 303N, 1401E,  55,  982, XX,  34, NEQ,   80,   70,   40,   30,  998,  160,  30,   0,   0,   W,   0,   X, 355,  21,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082112,   , BEST,   0, 317N, 1396E,  45,  989, XX,  34, NEQ,   75,   70,   30,   40,  998,  160,  30,   0,   0,   W,   0,   X, 350,  18,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
WP, 10, 2016082118,   , BEST,   0, 332N, 1390E,  50,  985, XX,  34, NEQ,   75,   70,   30,   40, 1001,  140,  30,   0,   0,   W,   0,   X, 345,  17,   MINDULLE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP102016, JTWC, NCEP_TCVITALS, 
