WP, 23, 2021101000,   , BEST,   0, 170N, 1603E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  140,  30,   0,   0,   W,   0,   X, 285,   8,  TWENTY-TH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101006,   , BEST,   0, 171N, 1596E,  35,  998, XX,  34, NEQ,   30,    0,    0,    0, 1006,  140,  30,   0,   0,   W,   0,   X, 285,   8,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101012,   , BEST,   0, 176N, 1595E,  40,  996, XX,  34, NEQ,   75,    0,    0,   30, 1006,  140,  30,   0,   0,   W,   0,   X, 295,   7,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101018,   , BEST,   0, 182N, 1587E,  45,  994, XX,  34, NEQ,  125,   65,   50,   90, 1004,  140,  30,   0,   0,   W,   0,   X, 310,   6,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101100,   , BEST,   0, 185N, 1575E,  45,  996, XX,  34, NEQ,  125,  105,   50,   85, 1006,  220,  30,   0,   0,   W,   0,   X, 300,   9,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101106,   , BEST,   0, 186N, 1559E,  45,  996, XX,  34, NEQ,   20,    0,    0,   20, 1006,  220,  15,   0,   0,   W,   0,   X, 290,  12,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101112,   , BEST,   0, 192N, 1546E,  50,  994, XX,  34, NEQ,   30,    0,    0,   35, 1006,  160,  15,   0,   0,   W,   0,   X, 290,  13,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101118,   , BEST,   0, 193N, 1539E,  45,  996, XX,  34, NEQ,  140,   70,   55,   90, 1005,  195,  40,   0,   0,   W,   0,   X, 290,  12,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101200,   , BEST,   0, 195N, 1531E,  45,  996, XX,  34, NEQ,  140,   70,   55,   90, 1006,  175,  40,   0,   0,   W,   0,   X, 290,  10,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101206,   , BEST,   0, 193N, 1520E,  40,  999, XX,  34, NEQ,  160,   35,   35,  110, 1006,  175,  30,   0,   0,   W,   0,   X, 285,  10,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
WP, 23, 2021101212,   , BEST,   0, 198N, 1519E,  35, 1001, XX,  34, NEQ,  140,   35,   35,   80, 1006,  175,  30,   0,   0,   W,   0,   X, 295,   8,   NAMTHEUN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232021, JTWC, NCEP_TCVITALS, 
