SH, 21, 2019031918,   , BEST,   0, 150S, 1197E,  40,  997, XX,  34, NEQ,   80,   80,   65,   65, 1005,  190,  30,   0,   0,   S,   0,   X, 240,   6,   VERONICA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032000,   , BEST,   0, 154S, 1190E,  50,  992, XX,  34, NEQ,   85,   95,   70,   85, 1005,  180,  30,   0,   0,   S,   0,   X, 240,   7,   VERONICA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032006,   , BEST,   0, 156S, 1183E,  55,  990, XX,  34, NEQ,   95,   95,   80,   70, 1005,  180,  30,   0,   0,   S,   0,   X, 240,   7,   VERONICA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032012,   , BEST,   0, 159S, 1178E,  60,  987, XX,  34, NEQ,   70,   80,   65,   60, 1005,  190,  30,   0,   0,   S,   0,   X, 240,   7,   VERONICA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032018,   , BEST,   0, 159S, 1176E, 110,  948, XX,  34, NEQ,   85,  105,   95,   80, 1005,  190,  15,   0,   0,   S,   0,   X, 250,   5,   VERONICA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032100,   , BEST,   0, 164S, 1177E, 125,  930, XX,  34, NEQ,  160,  170,  150,  135, 1005,  190,  15,   0,   0,   S,   0,   X, 215,   3,   VERONICA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032106,   , BEST,   0, 168S, 1174E, 125,  930, XX,  34, NEQ,  120,  135,  110,  105, 1005,  190,  10,   0,   0,   S,   0,   X, 205,   4,   VERONICA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032112,   , BEST,   0, 173S, 1174E, 115,  937, XX,  34, NEQ,  125,  130,  115,  100, 1004,  175,  20,   0,   0,   S,   0,   X, 190,   5,   VERONICA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032118,   , BEST,   0, 175S, 1169E, 110,  946, XX,  34, NEQ,  125,  130,  115,  105, 1006,  185,  20,   0,   0,   S,   0,   X, 210,   5,   VERONICA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032200,   , BEST,   0, 176S, 1168E, 110,  947, XX,  34, NEQ,  135,  135,  135,  110, 1006,  195,  12,   0,   0,   S,   0,   X, 220,   3,   VERONICA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
SH, 21, 2019032206,   , BEST,   0, 178S, 1167E, 110,  946, XX,  34, NEQ,  150,  155,  150,  135, 1006,  180,   5,   0,   0,   S,   0,   X, 225,   3,   VERONICA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH212019, JTWC, NCEP_TCVITALS, 
