SH, 20, 2016042000,   , BEST,   0, 131S, 1782W,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   P,   0,   X, 295,   8,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042006,   , BEST,   0, 129S, 1785W,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  190,  45,   0,   0,   P,   0,   X, 295,   7,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042012,   , BEST,   0, 128S, 1788W,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  40,   0,   0,   P,   0,   X, 300,   5,     TWENTY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042018,   , BEST,   0, 126S, 1796W,  40,  993, XX,  34, NEQ,   80,  100,  100,  100, 1007,  205,  40,   0,   0,   P,   0,   X, 290,   5,       AMOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042100,   , BEST,   0, 125S, 1795W,  45,  989, XX,  34, NEQ,   80,  100,  100,  100, 1007,  205,  40,   0,   0,   P,   0,   X, 290,   4,       AMOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042106,   , BEST,   0, 130S, 1793W,  45,  989, XX,  34, NEQ,   80,   90,   90,   90, 1005,  135,  40,   0,   0,   P,   0,   X, 215,   1,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042112,   , BEST,   0, 127S, 1789W,  55,  982, XX,  34, NEQ,   90,   80,   80,   90, 1005,  180,  25,   0,   0,   P,   0,   X, 100,   2,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042118,   , BEST,   0, 127S, 1783W,  55,  982, XX,  34, NEQ,   90,   80,   80,   90, 1005,  180,  25,   0,   0,   P,   0,   X,  90,   4,       AMOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042200,   , BEST,   0, 124S, 1774W,  65,  974, XX,  34, NEQ,   55,   70,   45,   55, 1005,  180,  25,   0,   0,   P,   0,   X,  80,   6,       AMOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042206,   , BEST,   0, 125S, 1770W,  75,  967, XX,  34, NEQ,   60,   50,   50,   60, 1005,  190,  15,   0,   0,   P,   0,   X,  85,   6,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042212,   , BEST,   0, 124S, 1763W,  90,  956, XX,  34, NEQ,   60,   50,   50,   60, 1005,  190,  15,   0,   0,   P,   0,   X,  80,   6,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042218,   , BEST,   0, 124S, 1757W,  90,  956, XX,  34, NEQ,   60,   50,   50,   60, 1005,  190,  15,   0,   0,   P,   0,   X,  85,   6,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042300,   , BEST,   0, 124S, 1749W,  90,  956, XX,  34, NEQ,   50,   40,   35,   45, 1006,  175,  10,   0,   0,   P,   0,   X,  90,   7,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042306,   , BEST,   0, 128S, 1732W,  90,  956, XX,  34, NEQ,   65,   75,   50,   55, 1006,  180,  10,   0,   0,   P,   0,   X, 100,  10,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042312,   , BEST,   0, 133S, 1721W,  90,  956, XX,  34, NEQ,   70,   80,   60,   60, 1006,  190,  10,   0,   0,   P,   0,   X, 105,  12,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042318,   , BEST,   0, 140S, 1704W,  90,  956, XX,  34, NEQ,   60,   70,   60,   60, 1008,  200,  10,   0,   0,   P,   0,   X, 110,  16,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042400,   , BEST,   0, 139S, 1710W,  70,  970, XX,  34, NEQ,   50,   60,   50,   50, 1008,  160,  10,   0,   0,   P,   0,   X, 115,   8,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042406,   , BEST,   0, 137S, 1702W,  55,  982, XX,  34, NEQ,   35,   40,   35,   30, 1008,  175,  15,   0,   0,   P,   0,   X, 105,   7,       AMOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042412,   , BEST,   0, 137S, 1696W,  40,  993, XX,  34, NEQ,   40,   40,   30,   30, 1008,  180,  25,   0,   0,   P,   0,   X,  95,   7,       AMOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
SH, 20, 2016042500,   , BEST,   0, 148S, 1684W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  15,   0,   0,   P,   0,   X, 120,   7,       AMOS, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202016, JTWC, NCEP_TCVITALS, 
