SH, 01, 2017113000,   , BEST,   0, 089S, 1044E,  35, 1001, XX,  34, NEQ,   50,   50,   80,   80, 1006,  140,  75,   0,   0,   S,   0,   X,  95,   8,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017113006,   , BEST,   0, 089S, 1062E,  35,  996, XX,  34, NEQ,   80,   50,   50,   95, 1006,  150,  75,   0,   0,   S,   0,   X,  90,  11,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017113012,   , BEST,   0, 093S, 1076E,  45,  995, XX,  34, NEQ,  140,   75,   75,  130, 1005,  210,  45,   0,   0,   S,   0,   X,  95,  14,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017113018,   , BEST,   0, 096S, 1081E,  45,  994, XX,  34, NEQ,   70,   60,   75,   85, 1003,  100,  30,   0,   0,   S,   0,   X, 100,  12,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120100,   , BEST,   0, 097S, 1090E,  50,  991, XX,  34, NEQ,   95,   70,   60,   90, 1003,  115,  35,   0,   0,   S,   0,   X, 105,  10,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120106,   , BEST,   0, 102S, 1096E,  50,  992, XX,  34, NEQ,   60,   50,   50,   70, 1004,  130,  35,   0,   0,   S,   0,   X, 115,   7,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120112,   , BEST,   0, 105S, 1105E,  50,  985, XX,  34, NEQ,  100,   60,   70,   95, 1005,  145,  35,   0,   0,   S,   0,   X, 110,   8,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120118,   , BEST,   0, 109S, 1107E,  55,  989, XX,  34, NEQ,   75,   65,   55,   65, 1004,  150,  20,   0,   0,   S,   0,   X, 125,   7,     DAHLIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120200,   , BEST,   0, 109S, 1108E,  50,  993, XX,  34, NEQ,   70,   75,   60,   70, 1006,  175,  20,   0,   0,   S,   0,   X, 120,   5,     DAHLIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120206,   , BEST,   0, 108S, 1107E,  45,  996, XX,  34, NEQ,   50,   50,   45,   45, 1006,  185,  25,   0,   0,   S,   0,   X, 115,   3,     DAHLIA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120212,   , BEST,   0, 112S, 1120E,  35, 1002, XX,  34, NEQ,   45,   20,    0,   20, 1006,  180,  25,   0,   0,   S,   0,   X, 110,   5,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120218,   , BEST,   0, 118S, 1124E,  35, 1003, XX,  34, NEQ,   45,   40,   25,   20, 1007,  205,  25,   0,   0,   S,   0,   X, 120,   6,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120300,   , BEST,   0, 125S, 1124E,  35, 1004, XX,  34, NEQ,   40,   35,   20,   15, 1008,  200,  25,   0,   0,   S,   0,   X, 145,   6,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120306,   , BEST,   0, 138S, 1124E,  35, 1002, XX,  34, NEQ,   60,   55,   45,   80, 1006,  170,  25,   0,   0,   S,   0,   X, 170,   9,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120312,   , BEST,   0, 148S, 1124E,  35, 1004, XX,  34, NEQ,   45,   40,    0,    0, 1007,  170,  25,   0,   0,   S,   0,   X, 180,  10,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120318,   , BEST,   0, 159S, 1120E,  35, 1002, XX,  34, NEQ,    0,   50,   50,    0, 1005,  170,  30,   0,   0,   S,   0,   X, 185,  11,     DAHLIA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
SH, 01, 2017120400,   , BEST,   0, 169S, 1117E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  30,   0,   0,   S,   0,   X, 190,  11,     DAHLIA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012018, JTWC, NCEP_TCVITALS, 
