WP, 18, 2016091200,   , BEST,   0, 133N, 1432E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  50,   0,   0,   W,   0,   X, 290,  14,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091206,   , BEST,   0, 131N, 1417E,  40, 1003, XX,  34, NEQ,   25,   15,   15,   25, 1008,  175,  25,   0,   0,   W,   0,   X, 280,  15,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091212,   , BEST,   0, 137N, 1405E,  40,  993, XX,  34, NEQ,   35,   35,   25,   25, 1008,  150,  30,   0,   0,   W,   0,   X, 285,  14,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091218,   , BEST,   0, 142N, 1390E,  40, 1003, XX,  34, NEQ,   40,   50,   50,   40, 1008,  175,  30,   0,   0,   W,   0,   X, 285,  14,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091300,   , BEST,   0, 143N, 1378E,  45, 1000, XX,  34, NEQ,   55,   50,   50,   55, 1008,  175,  30,   0,   0,   W,   0,   X, 285,  13,    MALAKAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091306,   , BEST,   0, 145N, 1368E,  45, 1000, XX,  34, NEQ,   55,   50,   50,   55, 1008,  175,  30,   0,   0,   W,   0,   X, 285,  12,    MALAKAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091312,   , BEST,   0, 147N, 1355E,  50,  997, XX,  34, NEQ,   80,   75,   45,   55, 1008,  185,  30,   0,   0,   W,   0,   X, 280,  11,    MALAKAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091318,   , BEST,   0, 149N, 1345E,  60,  990, XX,  34, NEQ,   95,   80,   60,   75, 1007,  175,  30,   0,   0,   W,   0,   X, 280,  11,    MALAKAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091400,   , BEST,   0, 155N, 1330E,  60,  991, XX,  34, NEQ,   95,   80,   60,   75, 1008,  175,  25,   0,   0,   W,   0,   X, 285,  13,    MALAKAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091406,   , BEST,   0, 158N, 1321E,  60,  991, XX,  34, NEQ,   95,   80,   60,   75, 1008,  175,  25,   0,   0,   W,   0,   X, 290,  12,    MALAKAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
WP, 18, 2016091412,   , BEST,   0, 163N, 1310E,  70,  985, XX,  34, NEQ,  105,   90,   70,   85, 1008,  180,  25,   0,   0,   W,   0,   X, 295,  12,    MALAKAS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182016, JTWC, NCEP_TCVITALS, 
