WP, 02, 2016070300,   , BEST,   0, 087N, 1452E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  165,  60,   0,   0,   W,   0,   X,  35,   3,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070306,   , BEST,   0, 092N, 1450E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  60,   0,   0,   W,   0,   X,  10,   3,   NEPARTAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070312,   , BEST,   0, 100N, 1443E,  40,  993, XX,  34, NEQ,   85,   85,   75,   75, 1008,  155,  50,   0,   0,   W,   0,   X, 340,   5,   NEPARTAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070318,   , BEST,   0, 108N, 1429E,  45,  989, XX,  34, NEQ,   85,   85,   75,   75, 1007,  185,  50,   0,   0,   W,   0,   X, 315,  10,   NEPARTAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070400,   , BEST,   0, 118N, 1419E,  45,  989, XX,  34, NEQ,   85,   85,   75,   75, 1008,  180,  50,   0,   0,   W,   0,   X, 310,  12,   NEPARTAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070406,   , BEST,   0, 127N, 1408E,  45,  989, XX,  34, NEQ,   85,   85,   75,   75, 1006,  170,  50,   0,   0,   W,   0,   X, 310,  13,   NEPARTAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070412,   , BEST,   0, 135N, 1397E,  50,  985, XX,  34, NEQ,   90,   90,   80,   80, 1008,  175,  50,   0,   0,   W,   0,   X, 310,  14,   NEPARTAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070418,   , BEST,   0, 148N, 1383E,  60,  978, XX,  34, NEQ,   95,   70,   60,   95, 1007,  150,  35,   0,   0,   W,   0,   X, 310,  15,   NEPARTAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070500,   , BEST,   0, 154N, 1367E,  65,  974, XX,  34, NEQ,  110,   75,   60,  110, 1007,  165,  35,   0,   0,   W,   0,   X, 305,  16,   NEPARTAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070506,   , BEST,   0, 163N, 1351E,  80,  963, XX,  34, NEQ,  140,  120,   95,  130, 1008,  175,  20,   0,   0,   W,   0,   X, 305,  18,   NEPARTAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
WP, 02, 2016070512,   , BEST,   0, 172N, 1335E, 120,  933, XX,  34, NEQ,  160,  130,  105,  140, 1006,  190,  10,   0,   0,   W,   0,   X, 300,  17,   NEPARTAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022016, JTWC, NCEP_TCVITALS, 
