SH, 05, 2018120306,   , BEST,   0, 157S, 1555E,  50,  985, XX,  34, NEQ,   65,   70,   45,   40, 1008,  195,  30,   0,   0,   P,   0,   X, 150,   4,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120312,   , BEST,   0, 158S, 1558E,  50,  985, XX,  34, NEQ,   70,   85,   50,    0, 1009,  210,  40,   0,   0,   P,   0,   X, 125,   4,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120318,   , BEST,   0, 158S, 1570E,  45,  998, XX,  34, NEQ,   70,   90,   40,   65, 1008,  190,  40,   0,   0,   P,   0,   X, 100,   6,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120400,   , BEST,   0, 159S, 1570E,  40, 1001, XX,  34, NEQ,   60,   50,   45,   60, 1008,  190,  40,   0,   0,   P,   0,   X, 100,   5,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120406,   , BEST,   0, 161S, 1557E,  40,  999, XX,  34, NEQ,   55,   45,   40,   45, 1007,  155,  40,   0,   0,   P,   0,   X, 240,   2,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120412,   , BEST,   0, 162S, 1548E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  40,   0,   0,   P,   0,   X, 260,   7,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120506,   , BEST,   0, 173S, 1543E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  50,   0,   0,   P,   0,   X, 205,   4,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120512,   , BEST,   0, 174S, 1535E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  165,  50,   0,   0,   P,   0,   X, 220,   4,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120518,   , BEST,   0, 172S, 1528E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  50,   0,   0,   P,   0,   X, 270,   5,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120600,   , BEST,   0, 166S, 1517E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  120,  50,   0,   0,   P,   0,   X, 285,   8,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120606,   , BEST,   0, 161S, 1513E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  130,  50,   0,   0,   P,   0,   X, 300,   8,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120612,   , BEST,   0, 151S, 1511E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  130,  70,   0,   0,   P,   0,   X, 320,   9,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120618,   , BEST,   0, 153S, 1508E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  190,  70,   0,   0,   P,   0,   X, 325,   5,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120700,   , BEST,   0, 157S, 1507E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  55,   0,   0,   P,   0,   X, 305,   2,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120706,   , BEST,   0, 157S, 1509E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1004,  180,  50,   0,   0,   P,   0,   X, 200,   2,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120712,   , BEST,   0, 153S, 1505E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180, 120,   0,   0,   P,   0,   X, 270,   1,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120718,   , BEST,   0, 150S, 1507E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175, 120,   0,   0,   P,   0,   X,    ,   3,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120800,   , BEST,   0, 156S, 1500E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175, 120,   0,   0,   P,   0,   X, 270,   2,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120806,   , BEST,   0, 161S, 1493E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  180, 120,   0,   0,   P,   0,   X, 235,   5,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120812,   , BEST,   0, 165S, 1487E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175, 120,   0,   0,   P,   0,   X, 230,   8,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120818,   , BEST,   0, 165S, 1478E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175, 120,   0,   0,   P,   0,   X, 245,   8,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120900,   , BEST,   0, 164S, 1470E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  200, 120,   0,   0,   P,   0,   X, 260,   7,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
SH, 05, 2018120906,   , BEST,   0, 163S, 1463E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1003,  125, 120,   0,   0,   P,   0,   X, 275,   8,       OWEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052019, JTWC, NCEP_TCVITALS, 
