WP, 19, 2018081100,   , BEST,   0, 183N, 1444E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  125,  40,   0,   0,   W,   0,   X, 310,   7,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081106,   , BEST,   0, 194N, 1437E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  140,  25,   0,   0,   W,   0,   X, 325,   9,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081112,   , BEST,   0, 201N, 1436E,  55,  989, XX,  34, NEQ,   95,   95,   40,   45, 1004,  142,  20,   0,   0,   W,   0,   X, 340,   9,   NINETEEN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081118,   , BEST,   0, 210N, 1431E,  55,  989, XX,  34, NEQ,   95,   95,   40,   45, 1004,  142,  20,   0,   0,   W,   0,   X, 335,  10,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081200,   , BEST,   0, 216N, 1426E,  60,  988, XX,  34, NEQ,  105,   90,   60,   70, 1005,  125,  20,   0,   0,   W,   0,   X, 335,   9,      LEEPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081206,   , BEST,   0, 228N, 1420E,  60,  986, XX,  34, NEQ,   95,   75,   45,   70, 1005,  125,  20,   0,   0,   W,   0,   X, 335,  10,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081212,   , BEST,   0, 236N, 1417E,  65,  983, XX,  34, NEQ,   80,   80,   45,   55, 1005,  125,  20,   0,   0,   W,   0,   X, 340,  10,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081218,   , BEST,   0, 245N, 1407E,  65,  983, XX,  34, NEQ,   85,   80,   45,   55, 1005,  130,  20,   0,   0,   W,   0,   X, 330,  11,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081300,   , BEST,   0, 254N, 1398E,  60,  986, XX,  34, NEQ,   85,   75,   45,   70, 1006,  115,  10,   0,   0,   W,   0,   X, 320,  11,      LEEPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081306,   , BEST,   0, 265N, 1386E,  65,  982, XX,  34, NEQ,   80,   80,   65,   65, 1006,  115,  10,   0,   0,   W,   0,   X, 315,  13,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081312,   , BEST,   0, 269N, 1380E,  60,  985, XX,  34, NEQ,   95,   85,   45,   70, 1006,  115,  20,   0,   0,   W,   0,   X, 315,  11,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081318,   , BEST,   0, 281N, 1368E,  50,  991, XX,  34, NEQ,   90,  115,   45,   45, 1006,  115,  25,   0,   0,   W,   0,   X, 315,  12,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081400,   , BEST,   0, 293N, 1361E,  60,  984, XX,  34, NEQ,   90,   95,   60,   60, 1006,  100,  20,   0,   0,   W,   0,   X, 320,  12,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081406,   , BEST,   0, 304N, 1349E,  55,  987, XX,  34, NEQ,   90,   90,   55,   55, 1006,   95,  20,   0,   0,   W,   0,   X, 320,  13,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081412,   , BEST,   0, 314N, 1335E,  55,  986, XX,  34, NEQ,   90,   85,   60,   80, 1006,   75,  20,   0,   0,   W,   0,   X, 315,  15,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081418,   , BEST,   0, 321N, 1312E,  45,  989, XX,  34, NEQ,   80,   65,   65,   60, 1006,   75,  20,   0,   0,   W,   0,   X, 305,  17,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081500,   , BEST,   0, 337N, 1301E,  35,  996, XX,  34, NEQ,   45,   35,   35,   45, 1006,   75,  10,   0,   0,   W,   0,   X, 310,  17,      LEEPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081506,   , BEST,   0, 349N, 1294E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,   75,  10,   0,   0,   W,   0,   X, 320,  15,      LEEPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081512,   , BEST,   0, 359N, 1296E,  30,  995, XX,  34, NEQ,    0,    0,    0,    0, 1006,   75,  10,   0,   0,   W,   0,   X, 340,  13,      LEEPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
WP, 19, 2018081518,   , BEST,   0, 365N, 1301E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,   50,  10,   0,   0,   W,   0,   X,    ,   9,      LEEPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192018, JTWC, NCEP_TCVITALS, 
