WP, 21, 2019101618,   , BEST,   0, 179N, 1299E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  120,  45,   0,   0,   W,   0,   X, 295,   8,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101700,   , BEST,   0, 185N, 1299E,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  130,  45,   0,   0,   W,   0,   X, 315,   5,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101706,   , BEST,   0, 192N, 1294E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  45,   0,   0,   W,   0,   X, 335,   5,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101712,   , BEST,   0, 194N, 1299E,  35, 1006, XX,  34, NEQ,   50,   25,   25,   30, 1010,  135,  25,   0,   0,   W,   0,   X,    ,   4,  TWENTY-ON, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101718,   , BEST,   0, 199N, 1296E,  40, 1004, XX,  34, NEQ,   50,   25,   25,   30, 1011,  155,  25,   0,   0,   W,   0,   X, 345,   4,  TWENTY-ON, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101800,   , BEST,   0, 198N, 1299E,  40, 1004, XX,  34, NEQ,   50,   25,   25,   30, 1011,  155,  25,   0,   0,   W,   0,   X,    ,   2,    NEOGURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101806,   , BEST,   0, 200N, 1295E,  45,  998, XX,  34, NEQ,   65,   45,   45,   55, 1008,  125,  30,   0,   0,   W,   0,   X, 315,   2,    NEOGURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101812,   , BEST,   0, 204N, 1292E,  45, 1001, XX,  34, NEQ,   60,   50,   50,   55, 1011,  160,  30,   0,   0,   W,   0,   X, 320,   3,    NEOGURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101818,   , BEST,   0, 208N, 1285E,  50,  999, XX,  34, NEQ,   45,   30,   15,   45, 1009,  160,  30,   0,   0,   W,   0,   X, 310,   5,    NEOGURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101900,   , BEST,   0, 211N, 1279E,  55,  995, XX,  34, NEQ,   75,   55,   35,   65, 1009,  160,  30,   0,   0,   W,   0,   X, 305,   6,    NEOGURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
WP, 21, 2019101906,   , BEST,   0, 216N, 1273E,  65,  988, XX,  34, NEQ,   70,   55,   50,   60, 1009,  150,   6,   0,   0,   W,   0,   X, 305,   7,    NEOGURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212019, JTWC, NCEP_TCVITALS, 
