WP, 31, 2018102112,   , BEST,   0, 084N, 1576E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  185,  25,   0,   0,   W,   0,   X, 275,  10,  THIRTYONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102118,   , BEST,   0, 086N, 1568E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  25,   0,   0,   W,   0,   X, 280,  10,  THIRTYONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102200,   , BEST,   0, 089N, 1562E,  35, 1003, XX,  34, NEQ,   40,   20,   20,   20, 1006,  200,  35,   0,   0,   W,   0,   X, 285,   9,       YUTU, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102206,   , BEST,   0, 098N, 1550E,  40,  997, XX,  34, NEQ,  120,  100,   80,   60, 1005,  200,  35,   0,   0,   W,   0,   X, 300,  10,       YUTU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102212,   , BEST,   0, 106N, 1538E,  45,  997, XX,  34, NEQ,  120,  130,   70,  105, 1007,  210,  40,   0,   0,   W,   0,   X, 305,  12,       YUTU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102218,   , BEST,   0, 109N, 1527E,  60,  987, XX,  34, NEQ,  125,  115,   65,  110, 1005,  215,  40,   0,   0,   W,   0,   X, 300,  12,       YUTU, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102300,   , BEST,   0, 115N, 1516E,  65,  974, XX,  34, NEQ,  175,  110,   80,  140, 1005,  200,  30,   0,   0,   W,   0,   X, 295,  12,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102306,   , BEST,   0, 118N, 1506E,  75,  976, XX,  34, NEQ,  175,  105,   50,  135, 1004,  190,  30,   0,   0,   W,   0,   X, 295,  11,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102312,   , BEST,   0, 120N, 1496E,  90,  967, XX,  34, NEQ,  165,  100,   55,  140, 1006,  210,  30,   0,   0,   W,   0,   X, 290,  11,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102318,   , BEST,   0, 126N, 1489E, 110,  941, XX,  34, NEQ,  205,  190,  135,  150, 1006,  205,  17,   0,   0,   W,   0,   X, 295,  10,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102400,   , BEST,   0, 133N, 1479E, 130,  926, XX,  34, NEQ,  180,  135,  110,  160, 1004,  200,  15,   0,   0,   W,   0,   X, 300,  10,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102406,   , BEST,   0, 139N, 1471E, 145,  908, XX,  34, NEQ,  205,  175,  125,  185, 1003,  205,  15,   0,   0,   W,   0,   X, 305,  10,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102412,   , BEST,   0, 146N, 1462E, 155,  899, XX,  34, NEQ,  210,  170,  125,  180, 1005,  200,  15,   0,   0,   W,   0,   X, 305,  11,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
WP, 31, 2018102418,   , BEST,   0, 153N, 1453E, 150,  904, XX,  34, NEQ,  210,  180,  130,  200, 1004,  210,  15,   0,   0,   W,   0,   X, 310,  11,       YUTU, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP312018, JTWC, NCEP_TCVITALS, 
