WP, 18, 2019091900,   , BEST,   0, 225N, 1287E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1005,  280,  90,   0,   0,   W,   0,   X, 310,   3,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019091906,   , BEST,   0, 223N, 1286E,  30,  993, XX,  34, NEQ,    0,    0,    0,    0, 1004,  300,  80,   0,   0,   W,   0,   X, 280,   2,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019091912,   , BEST,   0, 230N, 1281E,  40,  990, XX,  34, NEQ,  185,  260,  100,  175, 1006,  300, 140,   0,   0,   W,   0,   X, 310,   4,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019091918,   , BEST,   0, 230N, 1272E,  40,  993, XX,  34, NEQ,  185,  260,  110,  175, 1008,  320, 140,   0,   0,   W,   0,   X, 295,   5,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092000,   , BEST,   0, 230N, 1267E,  45,  991, XX,  34, NEQ,  195,  285,  135,  200, 1007,  340, 130,   0,   0,   W,   0,   X, 290,   6,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092006,   , BEST,   0, 231N, 1269E,  50,  978, XX,  34, NEQ,  250,  180,  190,  300, 1002,  325, 114,   0,   0,   W,   0,   X, 285,   4,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092012,   , BEST,   0, 241N, 1273E,  50,  978, XX,  34, NEQ,  210,  225,  175,  255, 1002,  260, 114,   0,   0,   W,   0,   X, 345,   4,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092018,   , BEST,   0, 251N, 1264E,  55,  973, XX,  34, NEQ,  205,  225,  170,  250, 1000,  210,  70,   0,   0,   W,   0,   X, 340,   8,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092100,   , BEST,   0, 263N, 1258E,  55,  974, XX,  34, NEQ,  210,  210,  195,  235, 1000,  190,  70,   0,   0,   W,   0,   X, 340,  11,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092106,   , BEST,   0, 275N, 1256E,  60,  972, XX,  34, NEQ,  200,  215,  195,  170, 1000,  220,  26,   0,   0,   W,   0,   X, 340,  13,      TAPAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092112,   , BEST,   0, 285N, 1256E,  60,  971, XX,  34, NEQ,  215,  215,  195,  170, 1000,  220,  26,   0,   0,   W,   0,   X, 350,  12,      TAPAH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092118,   , BEST,   0, 296N, 1260E,  60,  973, XX,  34, NEQ,  245,  215,  190,  220, 1004,  230,  26,   0,   0,   W,   0,   X,   5,  11,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092200,   , BEST,   0, 309N, 1265E,  55,  978, XX,  34, NEQ,  240,  215,  190,  220, 1006,  240,  26,   0,   0,   W,   0,   X,  15,  12,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092206,   , BEST,   0, 327N, 1279E,  55,  979, XX,  34, NEQ,  220,  215,  210,  175, 1006,  240,  30,   0,   0,   W,   0,   X,  25,  15,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092212,   , BEST,   0, 339N, 1293E,  55,  979, XX,  34, NEQ,  220,  215,  210,  175, 1006,  240,  35,   0,   0,   W,   0,   X,  30,  17,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092218,   , BEST,   0, 354N, 1315E,  55,  980, XX,  34, NEQ,  230,  205,  190,  165, 1007,  245,  40,   0,   0,   W,   0,   X,  40,  20,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
WP, 18, 2019092300,   , BEST,   0, 376N, 1349E,  50,  983, XX,  34, NEQ,  220,  200,  180,  160, 1007,  245,  40,   0,   0,   W,   0,   X,  45,  25,      TAPAH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182019, JTWC, NCEP_TCVITALS, 
